verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
7242,1 Samuel 2:1,1 Samuel,9,2,1,172,"And Hannah prayed, and said, My heart rejoiceth in the LORD, mine horn is exalted in the LORD: my mouth is enlarged over mine enemies; because I rejoice in thy salvation."
7251,1 Samuel 2:10,1 Samuel,9,2,10,220,"The adversaries of the LORD shall be broken to pieces; out of heaven shall he thunder upon them: the LORD shall judge the ends of the earth; and he shall give strength unto his king, and exalt the horn of his anointed."
