verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
24977,Luke 2:3,Luke,42,2,3,56,"And all went to be taxed, every one into his own city."
25003,Luke 2:29,Luke,42,2,29,76,"Lord, now lettest thou thy servant depart in peace, according to thy word:"
25004,Luke 2:30,Luke,42,2,30,40,"For mine eyes have seen thy salvation,"
25005,Luke 2:31,Luke,42,2,31,57,Which thou hast prepared before the face of all people;
25006,Luke 2:32,Luke,42,2,32,70,"A light to lighten the Gentiles, and the glory of thy people Israel."
