verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
17902,Isaiah 12:1,Isaiah,23,12,1,146,"And in that day thou shalt say, O LORD, I will praise thee: though thou wast angry with me, thine anger is turned away, and thou comfortedst me."
17903,Isaiah 12:2,Isaiah,23,12,2,144,"Behold, God is my salvation; I will trust, and not be afraid: for the LORD JEHOVAH is my strength and my song; he also is become my salvation."
17904,Isaiah 12:3,Isaiah,23,12,3,71,Therefore with joy shall ye draw water out of the wells of salvation.
17905,Isaiah 12:4,Isaiah,23,12,4,144,"And in that day shall ye say, Praise the LORD, call upon his name, declare his doings among the people, make mention that his name is exalted."
17906,Isaiah 12:5,Isaiah,23,12,5,88,Sing unto the LORD; for he hath done excellent things: this is known in all the earth.
17907,Isaiah 12:6,Isaiah,23,12,6,103,"Cry out and shout, thou inhabitant of Zion: for great is the Holy One of Israel in the midst of thee."
