verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
30950,Revelation 15:3,Revelation,66,15,3,191,"And they sing the song of Moses the servant of God, and the song of the Lamb, saying, Great and marvellous are thy works, Lord God Almighty; just and true are thy ways, thou King of saints."
30951,Revelation 15:4,Revelation,66,15,4,169,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest."
