verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
30792,Revelation 5:12,Revelation,66,5,12,154,"Saying with a loud voice, Worthy is the Lamb that was slain to receive power, and riches, and wisdom, and strength, and honour, and glory, and blessing."
30793,Revelation 5:13,Revelation,66,5,13,272,"And every creature which is in heaven, and on the earth, and under the earth, and such as are in the sea, and all that are in them, heard I saying, Blessing, and honour, and glory, and power, be unto him that sitteth upon the throne, and unto the Lamb for ever and ever."
30794,Revelation 5:14,Revelation,66,5,14,124,"And the four beasts said, Amen. And the four and twenty elders fell down and worshipped him that liveth for ever and ever."
