verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
14639,Psalms 48:4,Psalms,19,48,4,61,"For, lo, the kings were assembled, they passed by together."
14640,Psalms 48:5,Psalms,19,48,5,74,"They saw it, and so they marvelled; they were troubled, and hasted away."
14641,Psalms 48:6,Psalms,19,48,6,69,"Fear took hold upon them there, and pain, as of a woman in travail."
14642,Psalms 48:7,Psalms,19,48,7,56,Thou breakest the ships of Tarshish with an east wind.
14643,Psalms 48:8,Psalms,19,48,8,132,"As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah."
14644,Psalms 48:9,Psalms,19,48,9,75,"We have thought of thy lovingkindness, O God, in the midst of thy temple."
14645,Psalms 48:10,Psalms,19,48,10,117,"According to thy name, O God, so is thy praise unto the ends of the earth: thy right hand is full of righteousness."
14646,Psalms 48:11,Psalms,19,48,11,87,"Let mount Zion rejoice, let the daughters of Judah be glad, because of thy judgments."
14647,Psalms 48:12,Psalms,19,48,12,67,"Walk about Zion, and go round about her: tell the towers thereof."
14648,Psalms 48:13,Psalms,19,48,13,99,"Mark ye well her bulwarks, consider her palaces; that ye may tell it to the generation following."
14649,Psalms 48:14,Psalms,19,48,14,82,For this God is our God for ever and ever: he will be our guide even unto death.
14650,Psalms 49:1,Psalms,19,49,1,70,"Hear this, all ye people; give ear, all ye inhabitants of the world:"
14651,Psalms 49:2,Psalms,19,49,2,45,"Both low and high, rich and poor, together."
14652,Psalms 49:3,Psalms,19,49,3,91,My mouth shall speak of wisdom; and the meditation of my heart shall be of understanding.
14653,Psalms 49:4,Psalms,19,49,4,81,I will incline mine ear to a parable: I will open my dark saying upon the harp.
14654,Psalms 49:5,Psalms,19,49,5,100,"Wherefore should I fear in the days of evil, when the iniquity of my heels shall compass me about?"
14655,Psalms 49:6,Psalms,19,49,6,89,"They that trust in their wealth, and boast themselves in the multitude of their riches;"
14656,Psalms 49:7,Psalms,19,49,7,85,"None of them can by any means redeem his brother, nor give to God a ransom for him:"
14657,Psalms 49:8,Psalms,19,49,8,74,"(For the redemption of their soul is precious, and it ceaseth for ever:)"
14658,Psalms 49:9,Psalms,19,49,9,61,"That he should still live for ever, and not see corruption."
14659,Psalms 49:10,Psalms,19,49,10,116,"For he seeth that wise men die, likewise the fool and the brutish person perish, and leave their wealth to others."
14660,Psalms 49:11,Psalms,19,49,11,160,"Their inward thought is, that their houses shall continue for ever, and their dwelling places to all generations; they call their lands after their own names."
14661,Psalms 49:12,Psalms,19,49,12,82,Nevertheless man being in honour abideth not: he is like the beasts that perish.
14662,Psalms 49:13,Psalms,19,49,13,82,This their way is their folly: yet their posterity approve their sayings. Selah.
14663,Psalms 49:14,Psalms,19,49,14,193,Like sheep they are laid in the grave; death shall feed on them; and the upright shall have dominion over them in the morning; and their beauty shall consume in the grave from their dwelling.
14664,Psalms 49:15,Psalms,19,49,15,90,But God will redeem my soul from the power of the grave: for he shall receive me. Selah.
14665,Psalms 49:16,Psalms,19,49,16,85,"Be not thou afraid when one is made rich, when the glory of his house is increased;"
14666,Psalms 49:17,Psalms,19,49,17,87,For when he dieth he shall carry nothing away: his glory shall not descend after him.
14667,Psalms 49:18,Psalms,19,49,18,103,"Though while he lived he blessed his soul: and men will praise thee, when thou doest well to thyself."
14668,Psalms 49:19,Psalms,19,49,19,75,He shall go to the generation of his fathers; they shall never see light.
14669,Psalms 49:20,Psalms,19,49,20,79,"Man that is in honour, and understandeth not, is like the beasts that perish."
14670,Psalms 50:1,Psalms,19,50,1,122,"The mighty God, even the LORD, hath spoken, and called the earth from the rising of the sun unto the going down thereof."
14671,Psalms 50:2,Psalms,19,50,2,57,"Out of Zion, the perfection of beauty, God hath shined."
14672,Psalms 50:3,Psalms,19,50,3,131,"Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him."
14673,Psalms 50:4,Psalms,19,50,4,90,"He shall call to the heavens from above, and to the earth, that he may judge his people."
14674,Psalms 50:5,Psalms,19,50,5,90,Gather my saints together unto me; those that have made a covenant with me by sacrifice.
14675,Psalms 50:6,Psalms,19,50,6,83,And the heavens shall declare his righteousness: for God is judge himself. Selah.
14676,Psalms 50:7,Psalms,19,50,7,105,"Hear, O my people, and I will speak; O Israel, and I will testify against thee: I am God, even thy God."
14677,Psalms 50:8,Psalms,19,50,8,104,"I will not reprove thee for thy sacrifices or thy burnt offerings, to have been continually before me."
14678,Psalms 50:9,Psalms,19,50,9,73,"I will take no bullock out of thy house, nor he goats out of thy folds."
14679,Psalms 50:10,Psalms,19,50,10,78,"For every beast of the forest is mine, and the cattle upon a thousand hills."
14680,Psalms 50:11,Psalms,19,50,11,83,I know all the fowls of the mountains: and the wild beasts of the field are mine.
14681,Psalms 50:12,Psalms,19,50,12,90,"If I were hungry, I would not tell thee: for the world is mine, and the fulness thereof."
14682,Psalms 50:13,Psalms,19,50,13,61,"Will I eat the flesh of bulls, or drink the blood of goats?"
14683,Psalms 50:14,Psalms,19,50,14,67,Offer unto God thanksgiving; and pay thy vows unto the most High:
14684,Psalms 50:15,Psalms,19,50,15,89,"And call upon me in the day of trouble: I will deliver thee, and thou shalt glorify me."
14685,Psalms 50:16,Psalms,19,50,16,131,"But unto the wicked God saith, What hast thou to do to declare my statutes, or that thou shouldest take my covenant in thy mouth?"
14686,Psalms 50:17,Psalms,19,50,17,67,"Seeing thou hatest instruction, and casteth my words behind thee."
14687,Psalms 50:18,Psalms,19,50,18,99,"When thou sawest a thief, then thou consentedst with him, and hast been partaker with adulterers."
14688,Psalms 50:19,Psalms,19,50,19,63,"Thou givest thy mouth to evil, and thy tongue frameth deceit."
14689,Psalms 50:20,Psalms,19,50,20,88,Thou sittest and speakest against thy brother; thou slanderest thine own mother's son.
14690,Psalms 50:21,Psalms,19,50,21,178,"These things hast thou done, and I kept silence; thou thoughtest that I was altogether such an one as thyself: but I will reprove thee, and set them in order before thine eyes."
14691,Psalms 50:22,Psalms,19,50,22,97,"Now consider this, ye that forget God, lest I tear you in pieces, and there be none to deliver."
14692,Psalms 50:23,Psalms,19,50,23,121,Whoso offereth praise glorifieth me: and to him that ordereth his conversation aright will I shew the salvation of God.
14693,Psalms 51:1,Psalms,19,51,1,140,"Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions."
14694,Psalms 51:2,Psalms,19,51,2,67,"Wash me throughly from mine iniquity, and cleanse me from my sin."
14695,Psalms 51:3,Psalms,19,51,3,68,For I acknowledge my transgressions: and my sin is ever before me.
14696,Psalms 51:4,Psalms,19,51,4,158,"Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest."
14697,Psalms 51:5,Psalms,19,51,5,73,"Behold, I was shapen in iniquity; and in sin did my mother conceive me."
14698,Psalms 51:6,Psalms,19,51,6,108,"Behold, thou desirest truth in the inward parts: and in the hidden part thou shalt make me to know wisdom."
14699,Psalms 51:7,Psalms,19,51,7,87,"Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow."
14700,Psalms 51:8,Psalms,19,51,8,86,Make me to hear joy and gladness; that the bones which thou hast broken may rejoice.
14701,Psalms 51:9,Psalms,19,51,9,63,"Hide thy face from my sins, and blot out all mine iniquities."
14702,Psalms 51:10,Psalms,19,51,10,72,"Create in me a clean heart, O God; and renew a right spirit within me."
14703,Psalms 51:11,Psalms,19,51,11,75,Cast me not away from thy presence; and take not thy holy spirit from me.
14704,Psalms 51:12,Psalms,19,51,12,79,Restore unto me the joy of thy salvation; and uphold me with thy free spirit.
14705,Psalms 51:13,Psalms,19,51,13,85,Then will I teach transgressors thy ways; and sinners shall be converted unto thee.
14706,Psalms 51:14,Psalms,19,51,14,120,"Deliver me from bloodguiltiness, O God, thou God of my salvation: and my tongue shall sing aloud of thy righteousness."
14707,Psalms 51:15,Psalms,19,51,15,70,"O Lord, open thou my lips; and my mouth shall shew forth thy praise."
14708,Psalms 51:16,Psalms,19,51,16,95,For thou desirest not sacrifice; else would I give it: thou delightest not in burnt offering.
14709,Psalms 51:17,Psalms,19,51,17,105,"The sacrifices of God are a broken spirit: a broken and a contrite heart, O God, thou wilt not despise."
14710,Psalms 51:18,Psalms,19,51,18,76,Do good in thy good pleasure unto Zion: build thou the walls of Jerusalem.
14711,Psalms 51:19,Psalms,19,51,19,161,"Then shalt thou be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: then shall they offer bullocks upon thine altar."
14712,Psalms 52:1,Psalms,19,52,1,96,"Why boastest thou thyself in mischief, O mighty man? the goodness of God endureth continually."
14713,Psalms 52:2,Psalms,19,52,2,73,"The tongue deviseth mischiefs; like a sharp razor, working deceitfully."
14714,Psalms 52:3,Psalms,19,52,3,87,Thou lovest evil more than good; and lying rather than to speak righteousness. Selah.
14715,Psalms 52:4,Psalms,19,52,4,59,"Thou lovest all devouring words, O thou deceitful tongue."
14716,Psalms 52:5,Psalms,19,52,5,162,"God shall likewise destroy thee for ever, he shall take thee away, and pluck thee out of thy dwelling place, and root thee out of the land of the living. Selah."
14717,Psalms 52:6,Psalms,19,52,6,65,"The righteous also shall see, and fear, and shall laugh at him:"
14718,Psalms 52:7,Psalms,19,52,7,141,"Lo, this is the man that made not God his strength; but trusted in the abundance of his riches, and strengthened himself in his wickedness."
14719,Psalms 52:8,Psalms,19,52,8,102,But I am like a green olive tree in the house of God: I trust in the mercy of God for ever and ever.
14720,Psalms 52:9,Psalms,19,52,9,120,"I will praise thee for ever, because thou hast done it: and I will wait on thy name; for it is good before thy saints."
14721,Psalms 53:1,Psalms,19,53,1,135,"The fool hath said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that doeth good."
14722,Psalms 53:2,Psalms,19,53,2,120,"God looked down from heaven upon the children of men, to see if there were any that did understand, that did seek God."
14723,Psalms 53:3,Psalms,19,53,3,112,"Every one of them is gone back: they are altogether become filthy; there is none that doeth good, no, not one."
14724,Psalms 53:4,Psalms,19,53,4,115,Have the workers of iniquity no knowledge? who eat up my people as they eat bread: they have not called upon God.
14725,Psalms 53:5,Psalms,19,53,5,181,"There were they in great fear, where no fear was: for God hath scattered the bones of him that encampeth against thee: thou hast put them to shame, because God hath despised them."
14726,Psalms 53:6,Psalms,19,53,6,155,"Oh that the salvation of Israel were come out of Zion! When God bringeth back the captivity of his people, Jacob shall rejoice, and Israel shall be glad."
14727,Psalms 54:1,Psalms,19,54,1,60,"Save me, O God, by thy name, and judge me by thy strength."
14728,Psalms 54:2,Psalms,19,54,2,59,"Hear my prayer, O God; give ear to the words of my mouth."
14729,Psalms 54:3,Psalms,19,54,3,117,"For strangers are risen up against me, and oppressors seek after my soul: they have not set God before them. Selah."
14730,Psalms 54:4,Psalms,19,54,4,72,"Behold, God is mine helper: the Lord is with them that uphold my soul."
14731,Psalms 54:5,Psalms,19,54,5,68,He shall reward evil unto mine enemies: cut them off in thy truth.
14732,Psalms 54:6,Psalms,19,54,6,84,"I will freely sacrifice unto thee: I will praise thy name, O LORD; for it is good."
14733,Psalms 54:7,Psalms,19,54,7,99,For he hath delivered me out of all trouble: and mine eye hath seen his desire upon mine enemies.
14734,Psalms 55:1,Psalms,19,55,1,74,"Give ear to my prayer, O God; and hide not thyself from my supplication."
14735,Psalms 55:2,Psalms,19,55,2,73,"Attend unto me, and hear me: I mourn in my complaint, and make a noise;"
14736,Psalms 55:3,Psalms,19,55,3,136,"Because of the voice of the enemy, because of the oppression of the wicked: for they cast iniquity upon me, and in wrath they hate me."
14737,Psalms 55:4,Psalms,19,55,4,81,My heart is sore pained within me: and the terrors of death are fallen upon me.
14738,Psalms 55:5,Psalms,19,55,5,77,"Fearfulness and trembling are come upon me, and horror hath overwhelmed me."
14739,Psalms 55:6,Psalms,19,55,6,89,"And I said, Oh that I had wings like a dove! for then would I fly away, and be at rest."
14740,Psalms 55:7,Psalms,19,55,7,71,"Lo, then would I wander far off, and remain in the wilderness. Selah."
14741,Psalms 55:8,Psalms,19,55,8,60,I would hasten my escape from the windy storm and tempest.
