page_number,url,text
95,https://hymnary.org/page/fetch/SSSH1989/95/high,"Does Jesus Care? 89 J, LINCOLN HALL [NEWLINE] FRANK E. GRAEFF [NEWLINE] 1. Does Je suS care when my heart is pained Too deep ly for 2. Does Je suS care when my way is dark With a name less 3. Does Je suS care when ['ve tried, and failed To re sist some temp- 4 Does Je suS care when I ve said""goodbye' To the dear est on [NEWLINE] mirth and song; dread and fear? ta tion strong; earth to me, [NEWLINE] As the bur dens press, and the cares distress, And the As the day light fades into deep night shades, Does He When for my   deep grief [find no relief, Though my And my sad heart aches till it near ly breaks As it [NEWLINE] way grows wea ry and long? care enough to be near? 0 yes, He cares; [ know He cares, His tears   flow all the night long? aught to Him? Does   He see? [NEWLINE] ad lib. [NEWLINE] heart is touched with my grief; [NEWLINE] When the   days are weary, the [NEWLINE] rit [NEWLINE] long nights   drear y, [NEWLINE] know my Sav iour cares. cares, He cares_"
96,https://hymnary.org/page/fetch/SSSH1989/96/high,"Jesus, Lover of My Soul CHARLES WESLEY SIMEON B. MARSH [NEWLINE] 1. Je sus, Lov er of my soul, Let me to Thy bosom fly, 2 Oth er ref uge have none, Hangs my help less soul on Thee; 3. Thou, 0 Christ, art all want; More than all in Thee [ find; 4 Plen ~teous grace with Thee is found, Grace to cov er all my sin; [NEWLINE] While the near er wa ters   roll; While the tem pest  still is high; Leave, ah,leave me not a ~lone , Still support and com fort me_ Raise the fall en, cheer the faint, Heal the sick and lead the blind. Let the healing streams abound; Make and keep me pure with in. [NEWLINE] Hide me, 0 my Saviour, hide, AlI my trust on Thee  is stayed, Just and Ho ly is Thy name, Thou of life the fountain art, [NEWLINE] Till the storm   of life is past; AII my   help from Thee 1 bring; am all unright-eous ness; Free ly let me take of Thee; [NEWLINE] Safe in to the haven guide, receive my soul at last. Cover my de fenseless head With the   shadOw of Thy wing: Vile and full of sin 1 am, Thou art full of truth and grace. Spring Thou upwith in my heart, Rise to all ter ni ty. Amen:"
97,https://hymnary.org/page/fetch/SSSH1989/97/high,"Hiding in Thee 91 WILLIAM 0. CUSHING IRA D. SANKEY [NEWLINE] 1. 0 safe to the Rock   that is high er than I My soul in its 2. In the calm of the noontide, in sor row'$ lone hour; In times when temp 3. How oft in the conflict, when pressed by the foe, 1 have fled to my [NEWLINE] con flicts and sor rows would fly; So sin ful, SO wea ry, Thine, ta tion casts 0 'er me its pow 5; In the tem pests of life, on its Ref uge  and breathed out my woe; How oft en, when tri als  like [NEWLINE] Thine would [ be; Thou blest ""Rock of A ges,' Tm hid ing in wide, heaving sea, Thou blest ""Rock of A ges, Tm hid ing in sea billows roll; Have [ hid den in Thee, 0 Thou Rock of my [NEWLINE] Thee Thee. soul. [NEWLINE] Hid ing in Thee, [NEWLINE] Hid ing in Thee, Thou [NEWLINE] blest Rock of [NEWLINE] ges, Tm [NEWLINE] hid ing in Thee."
98,https://hymnary.org/page/fetch/SSSH1989/98/high,"How Can I Be Lonely? HALDOR LILLENAS HALDOR LILLENAS [NEWLINE] 1. One is walk ing with me ver life' $ un ven way, 2 Days may bring their bur dens and their tri als as g0, 3 In the hour of sad be reavement Or of bit ter loss, 4 In life'$ ros morn ~ing when   the skies a bove are clear;, [NEWLINE] Constant ly sup port ing me each mo ment of the day; But my Lord is near and   helps to make them light er grow. 1 can find sup port and con So la tion at the cross; In its noontide hours   with man y cares and prob lems near, [NEWLINE] How can be lone ly when such fel low ship is mine, Life may have its cross es, Or its loss es, Or increase, Want or woe r suf f'ring all seem glo ri fied when He Or when ev 'ning shad owS fall at clos ing of my day [NEWLINE] With my blessed Lord di vinel Je sus meets them all with peace. Dai ly walks and  talks with me. Je sus will be there al way: [NEWLINE] How can [NEWLINE] be lone ly"
99,https://hymnary.org/page/fetch/SSSH1989/99/high,"When [ 've Je suS on ly To be my compan-ion and unfail - ~ing guide; [NEWLINE] ## #1 Why should be wea Ty Or my path seem 1 [NEWLINE] drea Ty [NEWLINE] When He's walk ing by my side? [NEWLINE] Art Thou Weary Art Thou Languid? 93 JOHN M. NEALE HENRY W. BAKER Based on an early Greek hymn [NEWLINE] 1. Art thou wea ry , art thou lan guid, Art thou sore distressed? 2_ Hath He marks to lead me to Him, If He be my   guide? 3_ Is there di a dem, as Monarch, That His brow a dorns? 4. If  ask Him to re ceive me, Will He say me nay? 5_ Finding; fol-['wing, keeping, struggling; Is He sure to bless? [NEWLINE] 4 ""Come to Me;' saith One, and coming; Be at rest. In His feet and hands are woundprints, And His side_ Yea, crown, in ver y sure ty, But of thorns Not till earth and not till Heav _ en Pass a way. Saints, 4 pos tles, prophets, mar tyrs, Answer, ""Yes_ [NEWLINE] A men_"
100,https://hymnary.org/page/fetch/SSSH1989/100/high,"Stand by Me [NEWLINE] C.A. TINDLEY [NEWLINE] C: A. TINDLEY Arranged by F. A. Clark [NEWLINE] 1.. When the storms of life are raging, Stand by me; (stand by me;) When the 2. In the midst of trib u lation, Stand by me; In the 3_ In the midst of faults and failures, Stand by me; In the 4 When I m growing old and feeble, Stand by me; (by me;) When [ m [NEWLINE] #LHV [NEWLINE] #d storms of life are raging, Stand by me; (stand by me;) When the midst of  trib u lation, Stand by me; When the midst of   faults and failures, Stand by me; When grow ing old and  feeble, Stand by me; When my [NEWLINE] world is tosS ing me Like a ship upon the sea; Thou who hosts of Hell assail, And my   strength begins to fail, Thou who do the best [ can, And my friends misun derstand, Thou who life becomes a burden, And Fm near ing chill y Jordan, 0 Thou [NEWLINE] rul est wind and wa ter, Stand by me. (stand by me.) nev er lost a bat tle Stand by me. know est all a bout me, Stand by me. ""Lil ly of the Val ley; Stand by me_ (by me. )"
101,https://hymnary.org/page/fetch/SSSH1989/101/high,"The Lord Is My Shepherd 95 JAMES MONTGOMERY THOMAS KOSCHAT [NEWLINE] 1_ The Lord is my shepherd, no want shall 2. Thro' the val know; ley and shad Ow of death though 3. In stray, Since the midst of af fliction my ta ble is 4. Let spread; With goodness   and mer cy my boun ful God, Still 8 [NEWLINE] feed in green pastures, safefold ed rest; Thou art my Guardian, no vil fear; bless ings un measured my cup run neth 0'er; fol low my steps till 1 meet Thee a bove; [NEWLINE] He leadeth my Thy rod shall de With perfume and 1 seek by the [NEWLINE] soul where the still wa ters flow, Re stores me when wand' 'ring; re fend me, Thy staff be my stay: No harm can be fall, with oil  Thou my anoint-est my head; what shall ask of Thy path which my fore fa thers   trod, Through the land of their SO journ ,   Thy [NEWLINE] deems when   oppressed; Re stores me when  wand'_ 'ring, redeems when oppressed. Comfort er near; No harm can be fall, with my Com fort er near prov 1 dence more? what shall ask of Thy prov idence more? kingdom of love; Through the land of their SO journ, Thy kingdom of love."
102,https://hymnary.org/page/fetch/SSSH1989/102/high,"God Leads Us Along G. A. YOUNG G.A. YOUNG [NEWLINE] 1. In shad Y, green pas ~tures, SO rich and so sweet, God leads His dear 2. Sometimes on   the mount where the sun shines so bright, God leads His dear 3. Though SOrrows be fall uS, and Sa tan op pose , God leads His dear 4_ A way   from the mire, and a way   from the clay, God   leads His dear 25 2646 [NEWLINE] children a long; Where the water S cold flow bathes the wea ry one'$ feet, children a long; Some times in the val ley, in dark est of night, children a long; Through grace we can con quer, de feat all our   foes, children a long; A way up in Glo ry , ter nity' $ day, [NEWLINE] God  leads  His dear children a long: [NEWLINE] Some through the waters, [NEWLINE] Some through the flood, Some through the fire , but all through the blood; 25!#66 [NEWLINE] Some through great sor row, but God gives [NEWLINE] song,"
103,https://hymnary.org/page/fetch/SSSH1989/103/high,"rit. [NEWLINE] In the night sea son and all the day long: [NEWLINE] I Need Thee Every Hour 97 ANNIE S_ HAWKS ROBERT LOWRY [NEWLINE] 1. 1 need Thee ev ry hour; Most gra cious Lord; No 2. [ need Thee ev _ 'ry hour; Stay Thou near by; Temp 3. 1 need Thee ev - 'ry hour; In joy Or pain; Come 4, [ need Thee ev ry hour; Most Ho ly One; [NEWLINE] ten der voice like Thine Can peace ta tions lose their pow r When Thou quick ly and a bide, Or life make me Thine in deed, Thou bless [NEWLINE] af [NEWLINE] ford, art nigh. is vain: Son! [NEWLINE] need Thee, 0 need Thee; Ev ry hour 1 need Theel 0 55| JJ+ [NEWLINE] bless me now, my Sav iour, [NEWLINE] come [NEWLINE] to [NEWLINE] Theel"
104,https://hymnary.org/page/fetch/SSSH1989/104/high,"The Name of Jesus EDMUND $. LORENZ [NEWLINE] W.C. MARTIN [NEWLINE] 1. The name of Je sus is SO sweet; love its mu sic 2. [ love the name of Him whose heart Knows all my griefs and 3. That name 1 fond ly love to hear, It nev er fails my 4 No word of man can ev er tell How sweet the name [NEWLINE] to re peat; It makes my   joys bears a part; Who bids all anx heart to cheer, Its mu sic  dries love SO well; 0 let its   prais [NEWLINE] full and complete, The   precious ious fears depart 1 love the the fall ing tear; Ex alt the es ev er swell, 0 praise the The [NEWLINE] name of Je suS. precious name [NEWLINE] ""Je suS, 0 how sweet the namel [NEWLINE] ""Je suS, [NEWLINE] ev ry day the same; [NEWLINE] ""Je suS, [NEWLINE] let all [NEWLINE] saints pro claim Its wor thy praise for ev er. Its wor thy praise"
105,https://hymnary.org/page/fetch/SSSH1989/105/high,"Come; Ye Disconsolate 99 THOMAS MOORE SAMUEL WEBBE Altered by Thomas Hastings [NEWLINE] 1, Come, ye dis con solate , wher e er ye lan guish; 2. Joy of the des 0 - late, Light of the stray ing; 3. Here see the Bread of   life, see wa ters flow ing [NEWLINE] 1SbL [NEWLINE] Come to the mer cy seat, fer vent ly kneel; Hope of the pen 1 tent; fade less and pure, Forth   from the   throne   of God, pure from a bove; [NEWLINE] Here bring your Here   speaks the Come to the [NEWLINE] wounded hearts, here tell your an guish; Earth has no Com fort er, ten der ly say ing; ""Earth has no feast of love; come, ev er know ing Earth has no [NEWLINE] sor row [NEWLINE] that Heav'n can not heal: sor row that Heav 'n can not cure. sor row but Heav 'n can re move. [NEWLINE] men [NEWLINE] Favorite song of Dr_ Bob Jones_ Jr ,"
106,https://hymnary.org/page/fetch/SSSH1989/106/high,"Day by Day LINA SANDELL BERG OSCAR AHNFELT Translated by Andrew L. Skoog [NEWLINE] Day by day and with each passing mo ment, Strength [ find to 2. Ev ry day the  Lord Himself is near me With a spe cial 3 Help me then in ev ry trib u la tion, So t0 trust Thy [NEWLINE] 3 #FX meet   my tri als here; Trusting in my Father'$ wise bestow -ment, mercy for each hour; All my cares He fain would bear, and cheer me, promis es, 0 Lord, That 1 lose not faith 's sweet conSO la tion [NEWLINE] Fve no cause for worry or for fear. He whose heart is kind beHe whose name is Counsel-lor and Pow r. The pro tec tion of His Of fered me with in   Thy ho ly Word. Help me, Lord, when toil and [NEWLINE] yond all measure Gives un to each day what He deems best Loving child and treas ure Is a charge that on  Himself He laid; ""As thy trouble meet .ing; E'er to take, as from a father' s hand, One by"
107,https://hymnary.org/page/fetch/SSSH1989/107/high,"ly, its part of pain and pleasure, Mingling toil with peace and rest. days; thy strength shall be in measure, This the pledge to me He made. one, the days, the moments fleeting,  Till reach the Prom ised Land [NEWLINE] Jesus Never Fails [NEWLINE] A. A. LUTHER [NEWLINE] A. A. LUTHER [NEWLINE] 1. Earth ly friends may   prove untrue, Doubts and fears as sail; 2. Though the sky be dark and drear, Fierce and strong the gale, 3. In life's dark and bit ter  hour; Love will still pre vail; [NEWLINE] One still loves and cares for you: One who will not fail. Just remem ~ber He is near, And He will not fail. Trust His ev er last ing pow' 5, Je suS will not fail;, [NEWLINE] Je suS nev er fails, [NEWLINE] Je suS nev er fails, [NEWLINE] Heav'n and earth may pass a way, But [NEWLINE] JesuS nev er fails [NEWLINE] Copyright 1927. Renewal 1955 by A. A. Luther: Assigned to Singspiration; Inc. All rights reserved. Used by permission."
108,https://hymnary.org/page/fetch/SSSH1989/108/high,"He Hideth My Soul FANNY J. CROSBY WILLIAM J. KIRKPATRICK [NEWLINE] L.A won derful Sav iour IS Je sus my Lord, A won derful 2 A won derful Sav iour is Je suS my Lord, He tak eth my 3. With num berless blessings each mo ment Hecrowns, And filled   with His 4. When clothed in His brightness, transport ed, rise To meet Him in [NEWLINE] Savjour to me, bur den a way, fullness divine, clouds of the sky, [NEWLINE] He hideth my soul in the cleft of the rock, Where He holdeth me up, and 1 shall not be moved, He 1 sing in my rapture, 0 glo ry t0 God For His per fect salva-tion, His wonder-ful love, IIl [NEWLINE] riv ers of   pleasure [ see. giveth me strength as my day. He hideth my soul in the cleft   of the  rock such a Redeem-er as minel shout with the millions on high: 65| [NEWLINE] #p5 That  shadOWS a dry, thirsty land; He hideth my life in the depths 'of His love, [NEWLINE] And covers methere with His hand. And cOvers me there with His hand."
109,https://hymnary.org/page/fetch/SSSH1989/109/high,"Under His Wings 103 WILLIAM 0. CUSHING IRA D SANKEY [NEWLINE] 1. Un_ der His wings am safeIy a bid _ ing; Though the night 2 Un der His wings, what a refuge in sor ~row! How the heart 3 Un der His wings, 0 what  precious en joyment! There will [NEWLINE] deepens   and tempests are wild, yearning ly tums to His rest! hide till  life' $ tri als are 0'er; [NEWLINE] Still can trust Him; 1 Oft en when earth has no Sheltered, pro tect ed, no [NEWLINE] know He  will keep me; He has redeemed me, and am His child. balm   for my heal ing; There [ find comfort, and there 1 am blest. vil can harm me; Resting in Je sus   ['m safe ev ermore. [NEWLINE] Under His wings, under His wings, Who from His love can sever? [NEWLINE] Under His wingsmy soul shall abide, Safely a bide for ev er."
110,https://hymnary.org/page/fetch/SSSH1989/110/high,"Lean on His Arms [NEWLINE] EDGAR LEWIS [NEWLINE] L. E. JONES [NEWLINE] 1. Just lean upon the arms of Je 2. Just lean upon the arms of Je 3. Just lean upon the arms of Je 4 Just lean upon the arms of Je [NEWLINE] sus, He'Il help you a long; sus, He'Il brighten the way, suS, 0 bring ev ry care, sus, Then leave all to Him, [NEWLINE] help you 4 - long; If you will trust   His love un fail brighten the way; Just fol low glad ly where He lead bring ev ry care! The bur den that has seemed so heav leave all to Him; His heart is full of love and mer [NEWLINE] ing; He'Il eth, His Y, Take cy, His [NEWLINE] Fpp# fill your heart with song gen tle voice 0 bey. Lean on His arms, trusting in His love; to the Lord in pray r. Lean upon His arms, fully eyes are nev . er dim. [NEWLINE] Lean on His arms, all His mercies prove: Lean up on His arms , and [NEWLINE] on [NEWLINE] Lean His Lean up on His [NEWLINE] 3 arms, looking Home above, Just lean on the Sav iour's ars! arms, ev er"
111,https://hymnary.org/page/fetch/SSSH1989/111/high,"AII That Thrills My Soul 105 THORO HARRIS THORO HARRIS [NEWLINE] 1. Who can cheer the heart like Je suS, By His  presence all divine? 2, Love   of Christ s0 freely giv en, Grace of God beyond degree, 3. What a   wonder-ful redemp-tion! Nev er can a mortal know 4 Ev 'ry need His hand supply ing; Ev ry good in Him 1 see; 5. By the crystal flow-= ing riv er With the ransomed [ will sing, [NEWLINE] True and tender, pure and pre cious, 0 how blest to call Him mine! Mer cy, higher than the heav ens, Deep er than the deepest sea: How my sin, though red like crimson, Can be whiter than the snow. On His strength divine re ly ing; He is all in all to me. And for ev er and for ev er Praise and glori fy the King: [NEWLINE] AlI that thrills my soul is Je suS, [NEWLINE] He is more than life to me (t0 me); [NEWLINE] And the fairest   of  ten thou sand [NEWLINE] In my blessed Lord [ see. [NEWLINE] Copyright 1931. Renewed 1959 by Mrs: Thoro Harris, Nazarene Publishing House, owner: Used by Permission."
112,https://hymnary.org/page/fetch/SSSH1989/112/high,"Abide With Me [NEWLINE] HENRY F LYTE [NEWLINE] WILLIAM H: MONK [NEWLINE] L.A bide with me: fast falls the e ven tide; The darkness 2.0 Swift to its close   ebbs out life's lit tle day; Earth '$ joys grow 3 1 need Thy pres ence ev ry passing hour: What but Thy 4 Hold Thou Thy cross be fore my clos - -ing eyes; Shine through the [NEWLINE] 3 deepens;  Lord, with me a bide: When other help ers fail, and dim, its glories pass a way; Change and de cay in all a grace can foil the tempter'$ pow' r? Who like Thyself my guide, and gloom, and point me t0 the skies: Heav'n'$ moming breaks, and earth '$ vain [NEWLINE] comforts flee; Help of the helpless, 0 a bide with mel round [ see; 0 Thou who changest not, a bide with mel stay can be? Through cloud and sunshine, 0 a bide with mel shadows flee: In life, indeath, 0 Lord,a bide with mel [NEWLINE] Amen_ [NEWLINE] Praise the Saviour [NEWLINE] THOMAS KELLY [NEWLINE] From the German [NEWLINE] [ Praise the Saviour, ye who know Him! Who can tell how much we owe Him? 2. Je suS is the name that charms uS; He for conflict   fits and arms us; 3 Trust in Him, ye saints, forev er; He is  faithful, chang ing nev er; 4. Then we shall be where we would be, Then we shall be what we should be;"
113,https://hymnary.org/page/fetch/SSSH1989/113/high,"Glad ly let uS ren der to Him AlI we are and have. Noth ing moves and noth ing harms uS While we trust in Him_ Nei ther force nor guile can sev er Those He loves from Him. Things ` that   are not now nor could be, Soon shall be our own_ [NEWLINE] Sun of My Soul [NEWLINE] JOHN KEBLE [NEWLINE] Adapted from Katholisches Gesangbuch [NEWLINE] 1. Sun of my soull Thou Sav iour  dear, It is not night if 2. When the soft  dews of kind ly sleep My weary eye lids 3_ A bide with me from mom till eve, For   without   Thee 1 4 Be near t0 bless uS when we wake, Ere through the world our [NEWLINE] Thou be near; gen tly steep, can not live; way we take; [NEWLINE] 0 may no earth born cloud a rise Be my last thought, how sweet to rest A bide with me when  night is nigh, Till, in the cean of Thy love, [NEWLINE] To hide Thee from Thy ser vant'$ eyes. For ev er on my Sav iour'$ breast. For with out Thee dare not die. We lose our selves in Heav'n a bove [NEWLINE] men."
114,https://hymnary.org/page/fetch/SSSH1989/114/high,"109 Saviour, Like a Shepherd Lead Us DOROTHY A. THRUPP WILLIAM B. BRADBURY [NEWLINE] 1. Sav-- iour, like a shepherd lead uS, Much we need Thy tender care; 2 We are Thine; do Thou befriend uS, Be the Guardian of our way; 3 Thou hast promised to receive uS, Poor  and sinful though we be; 4 Ear ly let us seek Thy fa vor; Ear ly let uS do Thy will; [NEWLINE] In Thy pleasant pastures feed uS, For our use Thy folds prepare: Keep Thy flock, from sin de fend uS, Seek uS when we g0 a stray: Thou hast mer cy to re lieve uS, Grace to cleanse, and pow'r to free: Bless ed Lord and on ly Sav iour, With   Thy  love our bosoms  fill: [NEWLINE] BA [NEWLINE] Blessed Je suS, Blessed Je suS, Thou hast bought us, Thine we are; Blessed Je suS, Blessed Je suS, Hear, 0 hear uS when we pray; Blessed Je suS, Blessed Je suS, Early let uS tum to Thee; Blessed Je sus, Blessed Je suS, Thou hast loved uS, love uS still; [NEWLINE] B4 DH [NEWLINE] Blessed Je suS, Blessed Je sus, Thou hast bought us, Thine we are . Blessed Je suS, Blessed Je suS, Hear, 0 hear uS when we  pray_ Blessed Je suS, Blessed Je suS, Early let uS turn to Thee. Blessed Je sus, Blessed Je sus, Thou hast   loved uS, love uS still. [NEWLINE] Pp |E"
115,https://hymnary.org/page/fetch/SSSH1989/115/high,"All the Way My Saviour Leads Me 110 FANNY J. CROSBY ROBERT LOWRY [NEWLINE] 1. All the way my  Saviour leads me; What have to ask be side? 2. All the way my Saviour leads me, Cheers each winding path 1 tread, 3 All the way my Saviour leads me; 0 the full ness of His lovel [NEWLINE] Can 1 doubt His tender mer cy, Who through life has been my Guide? Gives me grace for ev ry tri al, Feeds me with the liv ing bread, Perfect rest to me is promised In my Fa ther's House above. [NEWLINE] #| Heav'nly peace, di vin _ est com fort,  Here by faith in Him to dwelll Though my wea ry steps may fal ter, And my soul athirst may be, When my spir it,clothed immor tal;, Wings its flight t0 realms of day, [NEWLINE] For 1 know, whate'er befall me, Je suS do eth all things well; Gushing from the Rock be fore me, Lol a spring of joy [ see; This my song through endless a ges: Je suS led me all the way; [NEWLINE] For I know, whate'er be fall me; Je sus do eth all things well: Gushingfrom the Rock be fore me, Lol a spring of   joy see This my song through endless a ges: Je sus led me all the way."
116,https://hymnary.org/page/fetch/SSSH1989/116/high,"Il1 Sweet Peace; the Gift of God's Love P.P. BILHORN P. P. BILHORN [NEWLINE] [. There comes to my heart one sweet   strain; (sweet   strain,) A 2 Through Christ on the cross   peace was made, (was made,) My 3 When Je sus as Lord had crowned (had crowned,) My 4 In Je sus for peace a bide, (a bide,) And [NEWLINE] pxa: [NEWLINE] glad and joy ous re frain; (refrain;) sing it a debl by His death was all   paid; (all   paid;) No oth er founheart with this peace did abound; (a bound;) In Him the rich as 1 keep close to His   side; (His side;) There' $ noth ing but [NEWLINE] #M gain and a gain , Sweet peace, the gift of God ' $ love. da tion is laid For   peace, the gift of God $ love blessing 1 found, Sweet peace, the gift of God '$ love peace   doth be tide, Sweet peace, the gift of God $ love. [NEWLINE] HA) [NEWLINE] Peace, peace, sweet peacel Wonder-ful   gift   from a bovel (abovel) 0 [NEWLINE] cresc . [NEWLINE] won derful, won der ful peace! Sweet peace , the gift of God'$ lovel"
117,https://hymnary.org/page/fetch/SSSH1989/117/high,[This image is under copyright]
118,https://hymnary.org/page/fetch/SSSH1989/118/high,"Wonderful Peace W. D. CORNELL, altered w.G. COOPER [NEWLINE] 1 Far a way in  the   depths of my spir it t0 night Rolls a 2. What a treas ure 1 have in this wonder ful peace, Buried 3. [ am rest ing to night in this wonder ful peace, Rest-; ing 4, And methinks when [ rise to that Cit y of peace , Where the 5_ Ah! soul, are you here without com fort or rest, Marching [NEWLINE] mel 0 dy sweeter than   psalm; In ce les tiallike strains   it un deep in the heart of my soul; So se cure that  no pow er can sweet ly in Jesus con trol; For Im kept from all  dan ger by Au thor of peace I shall see, That one strain of the song which the down the rough pathway of time? Make Je sus your Friend ere the [NEWLINE] #J 4NN ceasing ly falls O'er my soul like an in fi nite calm: mine it a way, While the years of ter ni ty roll: night and by day, And His glo ry is flooding my soul. ransomed will sing, In that heav enly kingdom shall be: shad ows grow dark; 0 ac cept this sweet peace sO sub lime. [NEWLINE] # Peace! peacel wonder-ful peace, Coming down from the Father a bove; Sweep"
119,https://hymnary.org/page/fetch/SSSH1989/119/high,"0 - ver my spirit for ever, [pray, In fathom-less billows of  love. [NEWLINE] The Great Physician 114 WILLIAM HUNTER J.H. STOCKTON [NEWLINE] 1. The great Physi cian now is near, The sym pathiz ing Je suS; 2. Your man y sins are all forgiv'n, 0 hear the voice  of Je sus; 3. AlI glo ry to the dy ing Lambl [ now believe in Je sus; 4. And when to that bright world a bove We rise to be with Je suS, [NEWLINE] He speaks   the droopi -ing heart t0 cheer; 0 hear the voice  of Je suS. Go on your way in peace to Heav 'n, And wear a crown with Je sus. [ love the blessed Saviour'$ name, [ love the name of Je suS. We 'II sing around the throne of love, His name, the name of Je suS. [NEWLINE] Sweet est note in ser aph song; Sweet est name on mor tal tongue; 1 Ex6 [NEWLINE] Sweet est car 0l ev er sung: [NEWLINE] Je sus, bless ed Je sus."
120,https://hymnary.org/page/fetch/SSSH1989/120/high,[This image is under copyright]
121,https://hymnary.org/page/fetch/SSSH1989/121/high,[This image is under copyright]
122,https://hymnary.org/page/fetch/SSSH1989/122/high,"Safe in the Arms of Jesus [NEWLINE] FANNY J. CROSBY [NEWLINE] WILLIAM H: DOANE [NEWLINE] 1. Safe in the arms of Je suS, Safe on His gen tle breast, 2. Safe in the arms of Je sus, Safe from   corrod- ing care , 3. Je sus, my heart'$ dear Ref uge, Je suS has   died for me; [NEWLINE] There by His love 0'ershad ed, Sweet ly my soul   shall rest Safe from the world '$ tempta tions, Sin cannot har me there. Firm on the Rock of A ges, Ev er my trust shall be. [NEWLINE] Hark! 'tis the voice of an gels, Borne in a song to me, Free from the blight of sor row, Free from my doubts and fears; Here let me wait with pa tience, Wait till the night is 0'er; [NEWLINE] ver the fields  of Glo ry , 0 ver the   jas per sea. On ly a few more tri als, On ly a few more tears! Wait till [ see the morn ing Break on the gold ~en shore_ [NEWLINE] 9|N Safe in the arms of Je suS, Safe on His gen tle breast,"
123,https://hymnary.org/page/fetch/SSSH1989/123/high,"There by His love 0 'ershad ed, Sweet ly   my soul   shall rest. [NEWLINE] Near to the Heart of God 118 CLELAND B. McAFEE CLELAND B. McAFEE [NEWLINE] There is a place of qui et  rest, Near to the heart of God, 2 There is a place of com fort sweet,  Near to the heart of  God, 3. There is a place of full release, Near to the heart of God, [NEWLINE] A place where sin can not mo- ~lest; Near to the heart of God. A place where we our Sav iour meet; Near to the heart of God. A place where all is joy and peace, Near to the heart of God [NEWLINE] 4V Je sus, blest Re deem er, Sent from the heart of God; [NEWLINE] Hold uS who wait be fore   Thee, Near to theheart of God."
124,https://hymnary.org/page/fetch/SSSH1989/124/high,[This image is under copyright]
125,https://hymnary.org/page/fetch/SSSH1989/125/high,[This image is under copyright]
126,https://hymnary.org/page/fetch/SSSH1989/126/high,"Like a River Glorious FRANCES R HA VERGAL JAMES MOUNTAIN [NEWLINE] 1. Like a riv er glo rious Is God'$ perfect peace, 0 ver all vic torious 2. Hidden in the hol low Of His blessed hand, Never foe can fol low, 3_ Ev ry joy or tri al Falleth from a bove, Traced upon our di al [NEWLINE] In its bright 'in crease; Perfect; yet it floweth Full er ev ry day, Nev er trai tor stand; Not a   surge of wor Ty, Not a shade of care, By the  Son of Love. We may trust Him ful ly AlI for uS to do; [NEWLINE] Perfect, yet it   grow eth Deeper all the way_ Not a blast   of hur Ty Touch the spir it there. Stayed upon Je ho vah, They who trust Him whol ly Find Him wholly true. [NEWLINE] 3 To [NEWLINE] Hearts are ful Iy   blest; Finding, as He prom ised, Perfect peace and rest: [NEWLINE] 0 God; Our Help ISAAC WATTS WILLIAM CROFT [NEWLINE] 1. 0 God, our Help in a ges past, Our Hope for years to come, 2. Un der the   shadOw of Thy throne Thy saints have dwelt se cure; 3 Be fore  the hills in or der   stood, Or earth received her frame, 4. A thousand a ges in Thy sight Are like an ev ning gone, 5 0 God, our Help in a ges past, Our Hope for years to come,"
127,https://hymnary.org/page/fetch/SSSH1989/127/high,"Our shel ter   from the storm y blast, And our ter nal Homel Suf fi cient is Thine arm a lone, And our defense is sure. From ev er last ing Thou art God, To end less  years the same_ Short as the watch that ends the night Be fore the ris ing sun: Be Thou our Guide while life   shall Jast, And our ter nal Home. [NEWLINE] The Christian's GoodNight 123 SARAH DOUDNEY IRA D SANKEY [NEWLINE] 1. Sleep on, be lov ed, sleep; and take thy rest; Lay down thy 2 Calm is thy slum ber as an infant' $ sleep; But thou   shalt 3. Un til ter nal glo ry   lights the skies, Un til the 4, On ly ""Goodnight; be loved _ not 'Farewelll"" A lit tle 5 Un til we meet gain beforeHis throne, Clothed in the [NEWLINE] + head up on thy Saviour' $ breast; We love thee well, but wake no more t0 toil and weep: Thine is a per fect dead in Je _ sus shall a rise, And He shall come, but while, and all His saints shall dwell In hal lowed un ion spot less robe He gives His own, Un til we know [NEWLINE] Je sus loves thee best Goodnight! Goodnight! Goodnight! rest, se cure and deep Goodnight! Goodnight! Goodnight! not in lowly guise Goodnight! Goodnight! Goodnight! in di vis ble Goodnight! Goodnight! Goodnight! ven as we are known Goodnight! Goodnight! Goodnight!"
128,https://hymnary.org/page/fetch/SSSH1989/128/high,"124 God Will Take Care of You CIVILLA D. MARTIN W.STILLMAN MARTIN [NEWLINE] 1. Be not dismayed whate'er betide, God will take care of you; 2. Through days of toil when heart doth fail, God will take care of you; 3 AIL you may need He will provide, God will take care of you; 4 No mat ter what may be the test, God will take care of you; [NEWLINE] Beneath His wings of love abide, God will take care of you; When dan gers fierce your path as sail, God will take care of you; Noth-= -ing you ask will be denied, God will take care of you; Lean, wea Ty one, up on His breast; God will take care of you; [NEWLINE] God will take care of   you, Through ev ry day, O'er all the way; [NEWLINE] He will take care of you, God will take care of you. take care ofyou:"
