page_number,url,text
11,https://hymnary.org/page/fetch/SSSH1989/11/high,"He Died for Me 11 EDWIN 0. EXCELL [NEWLINE] JOHN NEWTON [NEWLINE] L [ saw One hanging on a tree, In ag 0 ny and blood; He 2. Sure, nev er, till my lat est breath, Can 1 for get that look: It 3 My conscience felt and   owned the guilt, And plunged me in de spair; I 4. A las! 1 knew not what I did_ But now my tears are vain: Where 5. A sec ond look He gave, which said, ""I free ly all for give: This [NEWLINE] fixed His   lan guid eyes on me, As near His cross I stood. seemed to charge me with His death; Though not a word He   spoke. saw my sins His blood had spilt And  helped to nail Him  there. shall my trem bling soul be hid? For [ the Lord have slain: blood is for thy ran som paid, die that thou   may'st live: [NEWLINE] Oh, can it be, on a tree The Sav iour  died for me? up [NEWLINE] My soul is thrilled, my heart is filled, To think He   died for mel"
12,https://hymnary.org/page/fetch/SSSH1989/12/high,[This image is under copyright]
13,https://hymnary.org/page/fetch/SSSH1989/13/high,[This image is under copyright]
14,https://hymnary.org/page/fetch/SSSH1989/14/high,[This image is under copyright]
15,https://hymnary.org/page/fetch/SSSH1989/15/high,"Lead Me to Calvary 15 JENNIE E. HUSSEY WILLIAM J. KIRKPATRICK [NEWLINE] King of   my life, crown Thee now, Thine shall the glo Ty be; 2. Show me the tomb where Thou wast laid, Ten derly mourned andwept; 3. Let me like Ma ry, through the gloom, Come with a gift to Thee; 4 May I be will ing; Lord, to bear Dai ly my cross   for Thee; [NEWLINE] Lest [ for get Thy thorcrowned brow, Lead me to Cal va Ty. An gels in robes of light ar rayed Guarded Thee whilst Thou slept: Show to me now the emp ty tomb, Lead me to Cal va ry. E ven Thy "" cup of grief to share, Thou hast borne all for me. [NEWLINE] Lest forget Gethsem ane; Lest [ forget Thine ag 0-ny; [NEWLINE] Lest forget Thy love for me, Lead me to Cal va Ty [NEWLINE] Copyright 1921. Renewal 1949 by W. K. Woodruff. Assigned to Hope Publishing Company. All rights reserved. Used by permission."
16,https://hymnary.org/page/fetch/SSSH1989/16/high,"16 Majestic Sweetness Sits Enthroned SAMUEL STENNETT THOMAS HASTINGS [NEWLINE] 13 Ma jes tic sweet ness sits enthroned Up on the Sav iour' $ 2. No mor tal can with Him compare, A mong the sons of 3. He saw me plunged in deep dis tress , And flew to my re 4 To Him 1 owe my life and breath, And all the joys [NEWLINE] brow; [NEWLINE] His head with ra diant glo ries crowned, His Fair er is He than all the fair Who For me He bore the shame ful cross, And He makes me tri umph ver  death, And [NEWLINE] men; lief; have; [NEWLINE] lips with grace 0'er flow  fill the heav'nly train, car ried  all my grief, saves me   from the grave, [NEWLINE] His lips with grace 0'er flow. Who fill the heav'nly train, And car ried all my grief: And saves me from the grave. [NEWLINE] Favorite song of Dr. Robert G_ Lee. [NEWLINE] One Day! J WILBUR CHAPMAN [NEWLINE] CHARLES H. MARSH [NEWLINE] 1. One day ` when Heav en was   filled with His prais es, One day ` when 2. One day they led Him up Cal vaTy' $ moun tain, One day ` they 3. One day they left Him a lone in the gar den, One day He 4 One day the grave could con ceal Him no long er, One day the 5_ One day the trum pet will   sound for His   com ing, One day the [NEWLINE] Copyright 1910 by C H. Marsh: Copyright Renewed 1938 (extended) by C H. Marsh. Assigned to The Rodeheaver Co. Used by Permission."
17,https://hymnary.org/page/fetch/SSSH1989/17/high,"sin was as dark aS could be, nailed Him to die on the tree; rest ed, from suffer-ing free; stone rolled a way from the door; skies with His glories will shine; [NEWLINE] Jesus came forth to be Suffer-ing an guish, deAn-gels came down 0'er His Then He a rose , ver Wonder-ful day, my be [NEWLINE] pH [NEWLINE] born of a vir gin: Dwelt amongst men, my ex ample is Hel spised and reject ed: Bearing our sins, my Re deemer is Hel tomb to keepvig il; Hope of the hopeless, my Saviour is Hel death He had conquered; Now is ascend ed, my Lord ev ermorel loved ones bringing; Glori ous Sav iour, this Jesus is minel [NEWLINE] Tid [NEWLINE] TX Living, He loved me; dy ing, He saved me; Buried, He [NEWLINE] car [NEWLINE] ried my sins far away; [NEWLINE] Rising, He jus tified, [NEWLINE] cresc 6+ [NEWLINE] rit. [NEWLINE] freely forev er; One day He's com ing; 0 glori ouS day! 2 4 45+"
18,https://hymnary.org/page/fetch/SSSH1989/18/high,"18 Take the Name of Jesus With You LYDIA BAXTER WILLIAM H: DOANE [NEWLINE] # 1. Take the name of Je sus with you, Child of sorrow and of woe; 2. Take  the name of Je sus ev er, As a shield from ev ry snare; 3. 0 the   precious name of Je sus! How it thrills our souls with joy, 4 At the name of Je sus bow_ ing; Fall ing prostrate at His   feet; [NEWLINE] It will joy and comfort give you, Take it, then, where'er you go. If tempta-tions'round you gath er, Breathe that ho ly name in prayer: When His lov ing arms receive uS, And His songs Our tongues employ! King of kings in Heav'n we 'Il crown Him, When our jour ney is com ~plete. [NEWLINE] Precious name, [NEWLINE] 0 how sweet! [NEWLINE] Hope of earthand joy of Heav'n; [NEWLINE] Precious name, [NEWLINE] 0 how sweet! [NEWLINE] Precious name, [NEWLINE] how  sweet! [NEWLINE] Hope of   earth and joy of Heav'n. [NEWLINE] Precious name, 0 how sweet; how sweet!"
19,https://hymnary.org/page/fetch/SSSH1989/19/high,"There Is a Fountain 19 WILLIAM COWPER EARLY AMERICAN MELODY [NEWLINE] 1. There is a fountain filled with blood Drawn from Imman uel ' $ veins; 2 The dy ing thief re joiced to see That foun tain in his day; 3. Dear dy ing Lamb, Thy precious blood Shall nev er  lose its pow r, 4 E'er since, by faith, 1 saw the stream Thy flow ing wounds sup ply, 5. Then in no bler, sweet er song, IIL sing Thy pow' r to save, [NEWLINE] And sin ners, plunged beneath that flood, Lose all their guil ty stains: And there  may I, though vile as he, Wash all my sins a way: Till all the ran somed church of God Be saved, to sin no more: Re deeming love has been my theme , And shall be   till I die: When this poor lisp ~ ing, stamm ring tongue Lies Si lent   in the grave: [NEWLINE] Lose all their guil ty stains, Wash all my sins a way, Be saved, to sin no more , And shall be till die, Lies si lent in the grave, [NEWLINE] Lose all their guil ty stains; Wash all my sins a way; Be saved, to sin no more; And shall be till T die; Lies si lent in the grave; [NEWLINE] And sin ners, plunged beneath that flood, Lose all their guil ty stains. And there   may [, though vile as he, Wash all my sins a way: Till all the   ransomed church of God Be saved, t0 sin no more . Re deem ing love has been my theme, And shall be till 1 die. When this poor lisp ing; stamm ring ` tongue Lies si lent in the grave. [NEWLINE] Favorite song of Dr. Tom Malone and Dr. Harold Sightler ."
20,https://hymnary.org/page/fetch/SSSH1989/20/high,"When I See the Blood [NEWLINE] JOHN FOOTE [NEWLINE] J.G. FOOTE [NEWLINE] 1. Christ our Redeem er died on the cross, Died for the sin ner, 2, Chief est of  sin ners , Je sus can save, As He has prom ised, 3. Judg ment is com ing; all will be there, Who have reject ed, 4 0 what compas sion, 0 boundless lovel Je suS hath pow er, [NEWLINE] paid all his due; SO will He do; who have refused. Je suS is true; [NEWLINE] AII who receive Him need nev er  fear, sin ner, hear   Him, trust in His Word, sin ner, has ten;, let Je sus in, AlI who believe are safe from the storm, [NEWLINE] Yes, He will pass,  will pass Then He will pass,  will pass Then God will pass, will pass He will pass, will pass [NEWLINE] ver you. ver you: When ver you. ver you: [NEWLINE] see the [NEWLINE] When [NEWLINE] blood, [NEWLINE] When [NEWLINE] see the blood, [NEWLINE] When [NEWLINE] see the [NEWLINE] see the blood, [NEWLINE] When 1 [NEWLINE] see the blood, [NEWLINE] When ["
